CODE,DESCRIPTION
Z6282,PARENT-CHILD CONFLICT
Z640,PROBLEMS RELATED TO UNWANTED PREGNANCY
Z6830,"BODY MASS INDEX [BMI]30.0-30.9, ADULT"
Z701,COUNSELING RELATED TO PATIENT'S SEXUAL BEHAVIOR AND ORIENTN
Z7141,ALCOHOL ABUSE COUNSELING AND SURVEILLANCE OF ALCOHOLIC
Z7181,SPIRITUAL OR RELIGIOUS COUNSELING
Z7185,ENCOUNTER FOR IMMUNIZATION SAFETY COUNSELING
Z7721,CONTACT W AND EXPOSURE TO POTENTIALLY HAZARDOUS BODY FLUIDS
Z7982,LONG TERM (CURRENT) USE OF ASPIRIN
Z7985,LNG TRM (CRNT) USE INJECTABLE NON-INSULIN ANTIDIABETIC DRUGS
Z7989,OTHER LONG TERM (CURRENT) DRUG THERAPY
Z813,FAMILY HISTORY OF PSYCHOACTV SUBSTANCE ABUSE AND DEPENDENCE
Z8500,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF UNSP DGSTV ORG
Z8506,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF SMALL INTESTINE
Z8521,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF LARYNX
Z8541,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF CERVIX UTERI
Z8559,PERSONAL HISTORY OF MALIG NEOPLASM OF URINARY TRACT ORGAN
Z8572,PERSONAL HISTORY OF NON-HODGKIN LYMPHOMAS
Z8601,PERSONAL HISTORY OF BENIGN NEOPLASM
Z8614,PERSONAL HISTORY OF METHICILLIN RESIS STAPH INFECTION
Z8779,PERSONAL HISTORY OF OTH (CORRECTED) CONGENITAL MALFORMATIONS
Z883,ALLERGY STATUS TO OTHER ANTI-INFECTIVE AGENTS
Z9049,ACQUIRED ABSENCE OF OTHER SPECIFIED PARTS OF DIGESTIVE TRACT
Z9072,ACQUIRED ABSENCE OF OVARIES
Z9103,INSECT ALLERGY STATUS
Z9109,"OTH ALLERGY STATUS, OTH THAN TO DRUGS AND BIOLG SUBSTANCES"
Z9113,PATIENT'S UNINTENTIONAL UNDERDOSING OF MEDICATION REGIMEN
Z9151,PERSONAL HISTORY OF SUICIDAL BEHAVIOR
Z9152,PERSONAL HISTORY OF NONSUICIDAL SELF-HARM
Z9223,PERSONAL HISTORY OF ESTROGEN THERAPY
Z940,KIDNEY TRANSPLANT STATUS
Z9581,PRESENCE OF OTHER CARDIAC IMPLANTS AND GRAFTS
Z9629,PRESENCE OF OTHER OTOLOGICAL AND AUDIOLOGICAL IMPLANTS
Z9681,PRESENCE OF ARTIFICIAL SKIN
Z983,POST THERAPEUTIC COLLAPSE OF LUNG STATUS
Z9841,"CATARACT EXTRACTION STATUS, RIGHT EYE"
Z993,DEPENDENCE ON WHEELCHAIR
Z9989,DEPENDENCE ON OTHER ENABLING MACHINES AND DEVICES
S8222,TRANSVERSE FRACTURE OF SHAFT OF TIBIA
T4365,METHAMPHETAMINES
A0100,"TYPHOID FEVER, UNSPECIFIED"
A042,ENTEROINVASIVE ESCHERICHIA COLI INFECTION
A088,OTHER SPECIFIED INTESTINAL INFECTIONS
A260,CUTANEOUS ERYSIPELOID
A281,CAT-SCRATCH DISEASE
A430,PULMONARY NOCARDIOSIS
A530,"LATENT SYPHILIS, UNSPECIFIED AS EARLY OR LATE"
A5900,"UROGENITAL TRICHOMONIASIS, UNSPECIFIED"
A6009,HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT
A6921,MENINGITIS DUE TO LYME DISEASE
A829,"RABIES, UNSPECIFIED"
A91,DENGUE HEMORRHAGIC FEVER
B0052,HERPESVIRAL KERATITIS
B0053,HERPESVIRAL CONJUNCTIVITIS
B0059,OTHER HERPESVIRAL DISEASE OF EYE
B088,OTH VIRAL INFECTIONS WITH SKIN AND MUCOUS MEMBRANE LESIONS
B160,ACUTE HEPATITIS B WITH DELTA-AGENT WITH HEPATIC COMA
B161,ACUTE HEPATITIS B WITH DELTA-AGENT WITHOUT HEPATIC COMA
B188,OTHER CHRONIC VIRAL HEPATITIS
B1920,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA
B199,UNSPECIFIED VIRAL HEPATITIS WITHOUT HEPATIC COMA
B258,OTHER CYTOMEGALOVIRAL DISEASES
B269,MUMPS WITHOUT COMPLICATION
B330,EPIDEMIC MYALGIA
B399,"HISTOPLASMOSIS, UNSPECIFIED"
B949,SEQUELAE OF UNSPECIFIED INFECTIOUS AND PARASITIC DISEASE
B953,STREPTOCOCCUS PNEUMONIAE CAUSING DISEASES CLASSD ELSWHR
B9561,METHICILLIN SUSCEP STAPH INFCT CAUSING DIS CLASSD ELSWHR
B9621,SHIG TOX E COLI [STEC] O157 CAUSING DISEASES CLASSD ELSWHR
B9729,OTH CORONAVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR
B974,RESPIRATORY SYNCYTIAL VIRUS CAUSING DISEASES CLASSD ELSWHR
B977,PAPILLOMAVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE
B9789,OTH VIRAL AGENTS AS THE CAUSE OF DISEASES CLASSD ELSWHR
C000,MALIGNANT NEOPLASM OF EXTERNAL UPPER LIP
C022,MALIGNANT NEOPLASM OF VENTRAL SURFACE OF TONGUE
C028,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF TONGUE
C102,MALIGNANT NEOPLASM OF LATERAL WALL OF OROPHARYNX
C111,MALIGNANT NEOPLASM OF POSTERIOR WALL OF NASOPHARYNX
C158,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF ESOPHAGUS
C260,"MALIGNANT NEOPLASM OF INTESTINAL TRACT, PART UNSPECIFIED"
C269,MALIGNANT NEOPLASM OF ILL-DEFINED SITES WITHIN THE DGSTV SYS
C319,"MALIGNANT NEOPLASM OF ACCESSORY SINUS, UNSPECIFIED"
C342,"MALIGNANT NEOPLASM OF MIDDLE LOBE, BRONCHUS OR LUNG"
C3480,MALIGNANT NEOPLASM OF OVRLP SITES OF UNSP BRONCHUS AND LUNG
C3491,MALIGNANT NEOPLASM OF UNSP PART OF RIGHT BRONCHUS OR LUNG
C4310,"MALIGNANT MELANOMA OF UNSPECIFIED EYELID, INCLUDING CANTHUS"
C4370,"MALIGNANT MELANOMA OF UNSPECIFIED LOWER LIMB, INCLUDING HIP"
C4489,OTH MALIGNANT NEOPLASM OF OVERLAPPING SITES OF SKIN
C4912,"MALIG NEOPLM OF CONN AND SOFT TISS OF L UPR LIMB, INC SHLDR"
C49A9,GASTROINTESTINAL STROMAL TUMOR OF OTHER SITES
C5001,"MALIGNANT NEOPLASM OF NIPPLE AND AREOLA, FEMALE"
C5042,"MALIGNANT NEOPLASM OF UPPER-OUTER QUADRANT OF BREAST, MALE"
C5081,"MALIGNANT NEOPLASM OF OVERLAPPING SITES OF BREAST, FEMALE"
C541,MALIGNANT NEOPLASM OF ENDOMETRIUM
C561,MALIGNANT NEOPLASM OF RIGHT OVARY
C5702,MALIGNANT NEOPLASM OF LEFT FALLOPIAN TUBE
C61,MALIGNANT NEOPLASM OF PROSTATE
C642,"MALIGNANT NEOPLASM OF LEFT KIDNEY, EXCEPT RENAL PELVIS"
C6930,MALIGNANT NEOPLASM OF UNSPECIFIED CHOROID
C6931,MALIGNANT NEOPLASM OF RIGHT CHOROID
C720,MALIGNANT NEOPLASM OF SPINAL CORD
C779,"SECONDARY AND UNSP MALIGNANT NEOPLASM OF LYMPH NODE, UNSP"
C7971,SECONDARY MALIGNANT NEOPLASM OF RIGHT ADRENAL GLAND
C8204,"FOLLICULAR LYMPHOMA GRADE I, NODES OF AXILLA AND UPPER LIMB"
C8208,"FOLLICULAR LYMPHOMA GRADE I, LYMPH NODES OF MULTIPLE SITES"
C8214,"FOLLICULAR LYMPHOMA GRADE II, NODES OF AXILLA AND UPPER LIMB"
C8228,"FOLLICULAR LYMPHOMA GRADE III, UNSP, LYMPH NODES MULT SITE"
C8291,"FOLLICULAR LYMPHOMA, UNSP, NODES OF HEAD, FACE, AND NECK"
C8292,"FOLLICULAR LYMPHOMA, UNSPECIFIED, INTRATHORACIC LYMPH NODES"
C8311,"MANTLE CELL LYMPHOMA, LYMPH NODES OF HEAD, FACE, AND NECK"
C8313,"MANTLE CELL LYMPHOMA, INTRA-ABDOMINAL LYMPH NODES"
C8370,"BURKITT LYMPHOMA, UNSPECIFIED SITE"
C8383,"OTHER NON-FOLLICULAR LYMPHOMA, INTRA-ABDOMINAL LYMPH NODES"
C8516,"UNSPECIFIED B-CELL LYMPHOMA, INTRAPELVIC LYMPH NODES"
C8590,"NON-HODGKIN LYMPHOMA, UNSPECIFIED, UNSPECIFIED SITE"
C889,"MALIGNANT IMMUNOPROLIFERATIVE DISEASE, UNSPECIFIED"
C9020,EXTRAMEDULLARY PLASMACYTOMA NOT HAVING ACHIEVED REMISSION
C9031,SOLITARY PLASMACYTOMA IN REMISSION
C9112,CHRONIC LYMPHOCYTIC LEUKEMIA OF B-CELL TYPE IN RELAPSE
C91Z1,"OTHER LYMPHOID LEUKEMIA, IN REMISSION"
C9511,"CHRONIC LEUKEMIA OF UNSPECIFIED CELL TYPE, IN REMISSION"
D010,CARCINOMA IN SITU OF COLON
D049,"CARCINOMA IN SITU OF SKIN, UNSPECIFIED"
D0501,LOBULAR CARCINOMA IN SITU OF RIGHT BREAST
D119,"BENIGN NEOPLASM OF MAJOR SALIVARY GLAND, UNSPECIFIED"
D127,BENIGN NEOPLASM OF RECTOSIGMOID JUNCTION
D1601,BENIGN NEOPLM OF SCAPULA AND LONG BONES OF RIGHT UPPER LIMB
D1621,BENIGN NEOPLASM OF LONG BONES OF RIGHT LOWER LIMB
D174,BENIGN LIPOMATOUS NEOPLASM OF INTRATHORACIC ORGANS
D1801,HEMANGIOMA OF SKIN AND SUBCUTANEOUS TISSUE
D2110,"BEN NEOPLM OF CONNCTV/SOFT TISS OF UNSP UPR LIMB, INC SHLDR"
D2112,"BEN NEOPLM OF CONNCTV/SOFT TISS OF LEFT UPR LIMB, INC SHLDR"
D2122,"BEN NEOPLM OF CONNCTV/SOFT TISS OF LEFT LOWER LIMB, INC HIP"
D2210,"MELANOCYTIC NEVI OF UNSPECIFIED EYELID, INCLUDING CANTHUS"
D2260,"MELANOCYTIC NEVI OF UNSP UPPER LIMB, INCLUDING SHOULDER"
D3011,BENIGN NEOPLASM OF RIGHT RENAL PELVIS
D3122,BENIGN NEOPLASM OF LEFT RETINA
D3191,BENIGN NEOPLASM OF UNSPECIFIED PART OF RIGHT EYE
D3192,BENIGN NEOPLASM OF UNSPECIFIED PART OF LEFT EYE
D321,BENIGN NEOPLASM OF SPINAL MENINGES
D329,"BENIGN NEOPLASM OF MENINGES, UNSPECIFIED"
D3617,"BEN NEOPLM OF PRPH NERVES AND AUTONM NRV SYS OF TRUNK, UNSP"
D373,NEOPLASM OF UNCERTAIN BEHAVIOR OF APPENDIX
D376,"NEOPLASM OF UNCERTAIN BEHAVIOR OF LIVER, GB & BILE DUCT"
D380,NEOPLASM OF UNCERTAIN BEHAVIOR OF LARYNX
D3A00,BENIGN CARCINOID TUMOR OF UNSPECIFIED SITE
D3A09,BENIGN CARCINOID TUMORS OF OTHER SITES
D419,NEOPLASM OF UNCERTAIN BEHAVIOR OF UNSPECIFIED URINARY ORGAN
D431,"NEOPLASM OF UNCERTAIN BEHAVIOR OF BRAIN, INFRATENTORIAL"
D46B,REFRACT CYTOPENIA W MULTILIN DYSPLASIA AND RING SIDEROBLASTS
D492,"NEOPLASM OF UNSP BEHAVIOR OF BONE, SOFT TISSUE, AND SKIN"
D521,DRUG-INDUCED FOLATE DEFICIENCY ANEMIA
D559,"ANEMIA DUE TO ENZYME DISORDER, UNSPECIFIED"
D569,"THALASSEMIA, UNSPECIFIED"
D590,DRUG-INDUCED AUTOIMMUNE HEMOLYTIC ANEMIA
D5912,COLD AUTOIMMUNE HEMOLYTIC ANEMIA
D608,OTHER ACQUIRED PURE RED CELL APLASIAS
D619,"APLASTIC ANEMIA, UNSPECIFIED"
D631,ANEMIA IN CHRONIC KIDNEY DISEASE
D701,AGRANULOCYTOSIS SECONDARY TO CANCER CHEMOTHERAPY
D703,NEUTROPENIA DUE TO INFECTION
D704,CYCLIC NEUTROPENIA
D7219,OTHER EOSINOPHILIA
D749,"METHEMOGLOBINEMIA, UNSPECIFIED"
D8489,OTHER IMMUNODEFICIENCIES
D890,POLYCLONAL HYPERGAMMAGLOBULINEMIA
D8942,IDIOPATHIC MAST CELL ACTIVATION SYNDROME
D899,"DISORDER INVOLVING THE IMMUNE MECHANISM, UNSPECIFIED"
E0581,OTHER THYROTOXICOSIS WITH THYROTOXIC CRISIS OR STORM
E062,CHRONIC THYROIDITIS WITH TRANSIENT THYROTOXICOSIS
E079,"DISORDER OF THYROID, UNSPECIFIED"
E0836,DIABETES DUE TO UNDERLYING CONDITION W DIABETIC CATARACT
E0841,DIABETES DUE TO UNDRL CONDITION W DIABETIC MONONEUROPATHY
E0965,DRUG OR CHEMICAL INDUCED DIABETES MELLITUS W HYPERGLYCEMIA
E1011,TYPE 1 DIABETES MELLITUS WITH KETOACIDOSIS WITH COMA
E1029,TYPE 1 DIABETES MELLITUS W OTH DIABETIC KIDNEY COMPLICATION
E1040,"TYPE 1 DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSP"
E1044,TYPE 1 DIABETES MELLITUS WITH DIABETIC AMYOTROPHY
E1064,TYPE 1 DIABETES MELLITUS WITH HYPOGLYCEMIA
E1122,TYPE 2 DIABETES MELLITUS W DIABETIC CHRONIC KIDNEY DISEASE
E1133,TYPE 2 DIABETES W MODERATE NONPRLF DIABETIC RETINOPATHY
E1340,"OTH DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED"
E211,"SECONDARY HYPERPARATHYROIDISM, NOT ELSEWHERE CLASSIFIED"
E240,PITUITARY-DEPENDENT CUSHING'S DISEASE
E242,DRUG-INDUCED CUSHING'S SYNDROME
E2740,UNSPECIFIED ADRENOCORTICAL INSUFFICIENCY
E301,PRECOCIOUS PUBERTY
E3121,MULTIPLE ENDOCRINE NEOPLASIA [MEN] TYPE I
E318,OTHER POLYGLANDULAR DYSFUNCTION
E340,CARCINOID SYNDROME
E341,OTHER HYPERSECRETION OF INTESTINAL HORMONES
E43,UNSPECIFIED SEVERE PROTEIN-CALORIE MALNUTRITION
E630,ESSENTIAL FATTY ACID [EFA] DEFICIENCY
E640,SEQUELAE OF PROTEIN-CALORIE MALNUTRITION
E642,SEQUELAE OF VITAMIN C DEFICIENCY
E6609,OTHER OBESITY DUE TO EXCESS CALORIES
E668,OTHER OBESITY
E730,CONGENITAL LACTASE DEFICIENCY
E7400,"GLYCOGEN STORAGE DISEASE, UNSPECIFIED"
E7412,HEREDITARY FRUCTOSE INTOLERANCE
E7419,OTHER DISORDERS OF FRUCTOSE METABOLISM
E7510,UNSPECIFIED GANGLIOSIDOSIS
E779,"DISORDER OF GLYCOPROTEIN METABOLISM, UNSPECIFIED"
E7841,ELEVATED LIPOPROTEIN(A)
E791,LESCH-NYHAN SYNDROME
E8311,HEMOCHROMATOSIS
E8331,FAMILIAL HYPOPHOSPHATEMIA
E8352,HYPERCALCEMIA
E8729,OTHER ACIDOSIS
E881,"LIPODYSTROPHY, NOT ELSEWHERE CLASSIFIED"
E882,"LIPOMATOSIS, NOT ELSEWHERE CLASSIFIED"
E895,POSTPROCEDURAL TESTICULAR HYPOFUNCTION
F01C3,"VASCULAR DEMENTIA, SEVERE, WITH MOOD DISTURBANCE"
F0284,"DEM IN OTHER DIS CLASSD ELSWHR, UNSP SEVERITY, WITH ANXIETY"
F02B1,"DEM IN OTHER DIS CLASSD ELSWHR, MODERATE, WITH BEH DISTURB"
F0391,"UNSP DEMENTIA, UNSPECIFIED SEVERITY, WITH BEHAVIORAL DISTURB"
F03B2,"UNSPECIFIED DEMENTIA, MODERATE, WITH PSYCHOTIC DISTURBANCE"
F03C4,"UNSPECIFIED DEMENTIA, SEVERE, WITH ANXIETY"
F09,UNSP MENTAL DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F1026,ALCOHOL DEPEND W ALCOH-INDUCE PERSISTING AMNESTIC DISORDER
F1192,"OPIOID USE, UNSPECIFIED WITH INTOXICATION"
F1211,"CANNABIS ABUSE, IN REMISSION"
F1218,CANNABIS ABUSE WITH OTHER CANNABIS-INDUCED DISORDER
F1220,"CANNABIS DEPENDENCE, UNCOMPLICATED"
F1223,CANNABIS DEPENDENCE WITH WITHDRAWAL
F1291,"CANNABIS USE, UNSPECIFIED, IN REMISSION"
F1490,"COCAINE USE, UNSPECIFIED, UNCOMPLICATED"
F1513,OTHER STIMULANT ABUSE WITH WITHDRAWAL
F1610,"HALLUCINOGEN ABUSE, UNCOMPLICATED"
F1722,"NICOTINE DEPENDENCE, CHEWING TOBACCO"
F1915,OTH PSYCHOACTIVE SUBSTANCE ABUSE W PSYCHOTIC DISORDER
F1992,"OTHER PSYCHOACTIVE SUBSTANCE USE, UNSP WITH INTOXICATION"
F200,PARANOID SCHIZOPHRENIA
F2081,SCHIZOPHRENIFORM DISORDER
F25,SCHIZOAFFECTIVE DISORDERS
F3011,"MANIC EPISODE WITHOUT PSYCHOTIC SYMPTOMS, MILD"
F310,"BIPOLAR DISORDER, CURRENT EPISODE HYPOMANIC"
F314,"BIPOLAR DISORD, CRNT EPSD DEPRESS, SEV, W/O PSYCH FEATURES"
F3170,"BIPOLAR DISORD, CURRENTLY IN REMIS, MOST RECENT EPISODE UNSP"
F3178,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MIXED"
F325,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, IN FULL REMISSION"
F349,"PERSISTENT MOOD [AFFECTIVE] DISORDER, UNSPECIFIED"
F408,OTHER PHOBIC ANXIETY DISORDERS
F419,"ANXIETY DISORDER, UNSPECIFIED"
F431,POST-TRAUMATIC STRESS DISORDER (PTSD)
F4323,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD
F4325,ADJUSTMENT DISORDER W MIXED DISTURB OF EMOTIONS AND CONDUCT
F438,OTHER REACTIONS TO SEVERE STRESS
F5002,"ANOREXIA NERVOSA, BINGE EATING/PURGING TYPE"
F5105,INSOMNIA DUE TO OTHER MENTAL DISORDER
F5109,OTH INSOMNIA NOT DUE TO A SUBSTANCE OR KNOWN PHYSIOL COND
F514,SLEEP TERRORS [NIGHT TERRORS]
F515,NIGHTMARE DISORDER
F519,"SLEEP DISORDER NOT DUE TO A SUB OR KNOWN PHYSIOL COND, UNSP"
F6081,NARCISSISTIC PERSONALITY DISORDER
F6089,OTHER SPECIFIC PERSONALITY DISORDERS
F69,UNSPECIFIED DISORDER OF ADULT PERSONALITY AND BEHAVIOR
F71,MODERATE INTELLECTUAL DISABILITIES
F802,MIXED RECEPTIVE-EXPRESSIVE LANGUAGE DISORDER
F804,SPEECH AND LANGUAGE DEVELOPMENT DELAY DUE TO HEARING LOSS
F812,MATHEMATICS DISORDER
F840,AUTISTIC DISORDER
F88,OTHER DISORDERS OF PSYCHOLOGICAL DEVELOPMENT
F988,OTH BEHAV/EMOTN DISORD W ONSET USLY OCCUR IN CHLDHD AND ADOL
G1225,PROGRESSIVE SPINAL MUSCLE ATROPHY
G14,POSTPOLIO SYNDROME
G242,IDIOPATHIC NONFAMILIAL DYSTONIA
G251,DRUG-INDUCED TREMOR
G252,OTHER SPECIFIED FORMS OF TREMOR
G2589,OTHER SPECIFIED EXTRAPYRAMIDAL AND MOVEMENT DISORDERS
G312,DEGENERATION OF NERVOUS SYSTEM DUE TO ALCOHOL
G319,"DEGENERATIVE DISEASE OF NERVOUS SYSTEM, UNSPECIFIED"
G373,ACUTE TRANSVERSE MYELITIS IN DEMYELINATING DISEASE OF CNSL
G378,OTH DEMYELINATING DISEASES OF CENTRAL NERVOUS SYSTEM
G4021,"LOCAL-REL (FOCAL) SYMPTC EPI W COMPLEX PARTIAL SEIZ, NTRCT"
G4030,"GENERALIZED IDIOPATHIC EPILEPSY, NOT INTRACTABLE"
G4040,"OTH GENERALIZED EPILEPSY, NOT INTRACTABLE"
G40A0,"ABSENCE EPILEPTIC SYNDROME, NOT INTRACTABLE"
G4360,"PERSISTENT MIGRAINE AURA W CEREBRAL INFARCTION, NOT NTRCT"
G4403,EPISODIC PAROXYSMAL HEMICRANIA
G4440,"DRUG-INDUCED HEADACHE, NEC, NOT INTRACTABLE"
G4481,HYPNIC HEADACHE
G4712,IDIOPATHIC HYPERSOMNIA WITHOUT LONG SLEEP TIME
G4725,"CIRCADIAN RHYTHM SLEEP DISORDER, JET LAG TYPE"
G4751,CONFUSIONAL AROUSALS
G4759,OTHER PARASOMNIA
G4761,PERIODIC LIMB MOVEMENT DISORDER
G5139,"CLONIC HEMIFACIAL SPASM, UNSPECIFIED"
G541,LUMBOSACRAL PLEXUS DISORDERS
G548,OTHER NERVE ROOT AND PLEXUS DISORDERS
G5622,"LESION OF ULNAR NERVE, LEFT UPPER LIMB"
G5630,"LESION OF RADIAL NERVE, UNSPECIFIED UPPER LIMB"
G5711,"MERALGIA PARESTHETICA, RIGHT LOWER LIMB"
G5723,"LESION OF FEMORAL NERVE, BILATERAL LOWER LIMBS"
G5730,"LESION OF LATERAL POPLITEAL NERVE, UNSPECIFIED LOWER LIMB"
G587,MONONEURITIS MULTIPLEX
G600,HEREDITARY MOTOR AND SENSORY NEUROPATHY
G610,GUILLAIN-BARRE SYNDROME
G6181,CHRONIC INFLAMMATORY DEMYELINATING POLYNEURITIS
G701,TOXIC MYONEURAL DISORDERS
G709,"MYONEURAL DISORDER, UNSPECIFIED"
G804,ATAXIC CEREBRAL PALSY
G8221,"PARAPLEGIA, COMPLETE"
G8222,"PARAPLEGIA, INCOMPLETE"
G8314,MONOPLEGIA OF LOWER LIMB AFFECTING LEFT NONDOMINANT SIDE
G8324,MONOPLEGIA OF UPPER LIMB AFFECTING LEFT NONDOMINANT SIDE
G8331,"MONOPLEGIA, UNSPECIFIED AFFECTING RIGHT DOMINANT SIDE"
G839,"PARALYTIC SYNDROME, UNSPECIFIED"
G8928,OTHER CHRONIC POSTPROCEDURAL PAIN
G9050,"COMPLEX REGIONAL PAIN SYNDROME I, UNSPECIFIED"
G913,"POST-TRAUMATIC HYDROCEPHALUS, UNSPECIFIED"
G914,HYDROCEPHALUS IN DISEASES CLASSIFIED ELSEWHERE
G930,CEREBRAL CYSTS
G94,OTHER DISORDERS OF BRAIN IN DISEASES CLASSIFIED ELSEWHERE
G9612,MENINGEAL ADHESIONS (CEREBRAL) (SPINAL)
G9681,INTRACRANIAL HYPOTENSION
G9731,INTRAOP HEMOR/HEMTOM OF A NERVOUS SYS ORG COMP NRV SYS PROC
H0019,"CHALAZION UNSPECIFIED EYE, UNSPECIFIED EYELID"
H0222,MECHANICAL LAGOPHTHALMOS
H0232,BLEPHAROCHALASIS RIGHT LOWER EYELID
H0234,BLEPHAROCHALASIS LEFT UPPER EYELID
H0265,XANTHELASMA OF LEFT LOWER EYELID
H0501,CELLULITIS OF ORBIT
H0530,UNSPECIFIED DEFORMITY OF ORBIT
H1002,OTHER MUCOPURULENT CONJUNCTIVITIS
H1101,AMYLOID PTERYGIUM
H1103,DOUBLE PTERYGIUM OF EYE
H1112,CONJUNCTIVAL CONCRETIONS
H1143,CONJUNCTIVAL HYPEREMIA
H1501,ANTERIOR SCLERITIS
H1511,EPISCLERITIS PERIODICA FUGAX
H1610,UNSPECIFIED SUPERFICIAL KERATITIS
H1620,UNSPECIFIED KERATOCONJUNCTIVITIS
H1821,CORNEAL EDEMA SECONDARY TO CONTACT LENS
H2002,RECURRENT ACUTE IRIDOCYCLITIS
H2189,OTHER SPECIFIED DISORDERS OF IRIS AND CILIARY BODY
H259,UNSPECIFIED AGE-RELATED CATARACT
H2711,SUBLUXATION OF LENS
H3021,"POSTERIOR CYCLITIS, RIGHT EYE"
H3322,"SEROUS RETINAL DETACHMENT, LEFT EYE"
H3341,"TRACTION DETACHMENT OF RETINA, RIGHT EYE"
H3423,RETINAL ARTERY BRANCH OCCLUSION
H3511,"RETINOPATHY OF PREMATURITY, STAGE 0"
H3522,"OTHER NON-DIABETIC PROLIFERATIVE RETINOPATHY, LEFT EYE"
H3523,"OTHER NON-DIABETIC PROLIFERATIVE RETINOPATHY, BILATERAL"
H3541,LATTICE DEGENERATION OF RETINA
H3542,MICROCYSTOID DEGENERATION OF RETINA
H3552,PIGMENTARY RETINAL DYSTROPHY
H4003,ANATOMICAL NARROW ANGLE
H4005,OCULAR HYPERTENSION
H4052,"GLAUCOMA SECONDARY TO OTHER EYE DISORDERS, LEFT EYE"
H42,GLAUCOMA IN DISEASES CLASSIFIED ELSEWHERE
H449,UNSPECIFIED DISORDER OF GLOBE
H468,OTHER OPTIC NEURITIS
H4922,"SIXTH [ABDUCENT] NERVE PALSY, LEFT EYE"
H5032,INTERMITTENT ALTERNATING ESOTROPIA
H5052,EXOPHORIA
H5060,"MECHANICAL STRABISMUS, UNSPECIFIED"
H5253,SPASM OF ACCOMMODATION
H5313,SUDDEN VISUAL LOSS
H5334,SUPPRESSION OF BINOCULAR VISION
H5342,SCOTOMA OF BLIND SPOT AREA
H538,OTHER VISUAL DISTURBANCES
H543,"UNQUALIFIED VISUAL LOSS, BOTH EYES"
H5451,"LOW VISION, RIGHT EYE, NORMAL VISION LEFT EYE"
H548,"LEGAL BLINDNESS, AS DEFINED IN USA"
H5582,DEFICIENT SMOOTH PURSUIT EYE MOVEMENTS
H5901,KERATOPATHY (BULLOUS APHAKIC) FOLLOWING CATARACT SURGERY
H6020,"MALIGNANT OTITIS EXTERNA, UNSPECIFIED EAR"
H6053,ACUTE CONTACT OTITIS EXTERNA
H6054,ACUTE ECZEMATOID OTITIS EXTERNA
H6102,CHRONIC PERICHONDRITIS OF EXTERNAL EAR
H6120,"IMPACTED CERUMEN, UNSPECIFIED EAR"
H6505,"ACUTE SEROUS OTITIS MEDIA, RECURRENT, LEFT EAR"
H6519,OTHER ACUTE NONSUPPURATIVE OTITIS MEDIA
H6640,"SUPPURATIVE OTITIS MEDIA, UNSPECIFIED, UNSPECIFIED EAR"
H6981,"OTHER SPECIFIED DISORDERS OF EUSTACHIAN TUBE, RIGHT EAR"
H7000,ACUTE MASTOIDITIS WITHOUT COMPLICATIONS
H7102,"CHOLESTEATOMA OF ATTIC, LEFT EAR"
H7193,"UNSPECIFIED CHOLESTEATOMA, BILATERAL"
H8083,"OTHER OTOSCLEROSIS, BILATERAL"
H8092,"UNSPECIFIED OTOSCLEROSIS, LEFT EAR"
H829,"VERTIGINOUS SYNDROMES IN DISEASES CLASSD ELSWHR, UNSP EAR"
H8390,"UNSPECIFIED DISEASE OF INNER EAR, UNSPECIFIED EAR"
H9072,"MIX CNDCT/SNRL HEAR LOSS,UNI,L EAR,W UNRESTR HEAR CNTRA SIDE"
H90A1,"CONDUCTIVE HEAR LOSS, UNI, WITH RESTRICTED HEAR CNTRA SIDE"
H9103,"OTOTOXIC HEARING LOSS, BILATERAL"
H9110,"PRESBYCUSIS, UNSPECIFIED EAR"
H9392,UNSPECIFIED DISORDER OF LEFT EAR
H93A2,"PULSATILE TINNITUS, LEFT EAR"
I051,RHEUMATIC MITRAL INSUFFICIENCY
I058,OTHER RHEUMATIC MITRAL VALVE DISEASES
I082,RHEUMATIC DISORDERS OF BOTH AORTIC AND TRICUSPID VALVES
I089,"RHEUMATIC MULTIPLE VALVE DISEASE, UNSPECIFIED"
I091,"RHEUMATIC DISEASES OF ENDOCARDIUM, VALVE UNSPECIFIED"
I151,HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS
